sentiment,text
neutral,"veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement"
neutral,"what would you like to see changed on nokia s next attempt"
neutral,"when completed the meter watchtower will be the highest building in ireland"
neutral,"viking will pay eur million for the new ship which will be completed in january"
neutral,"with the basware connectivity services companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice"
neutral,"www countryelements co uk designed by patricia burt this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes"
neutral,"you are warmly welcome"
neutral,"approval by shareholders of cencorp in accordance with finnish law"
neutral,"tikkurila has an interesting growth strategy which we support"
neutral,"assa abloy kaupthing bank gave a neutral recommendation and a share price target of crowns euro on swedish lock maker assa abloy ab"
positive,"ruukki has experience of logistics construction competence in project management and also has the best references in terms of steel frame production and installation says onodi stefan general manager of arxikon construction company srl which is ruukki s customer"
neutral,"the investment in matka vekka has been reasonable for investors in capman funds"
neutral,"as a part of the eseries business promise the nokia e has been equipped with a variety of email solutions in a small and stylised package said dave grannan general manager enterprise solutions nokia"
neutral,"as defences mature attackers develop trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing screen shots video captures keylogging and injection of form fields"
positive,"i warmly welcome michael frei to outotec"
neutral,"nokia is just interested in bring nokia to the market"
neutral,"our aim is to understand different traffic patterns based on the use of each building"
neutral,"our approach is very much to only use raw materials that are produced in line with the principles of sustainable development"
neutral,"our vaalipalvelu service was especially developed for use by communities and organizations"
neutral,"rapala is excited to be partnering with rbff and other industry leaders on this holiday promotion"
neutral,"small well targeted acquisitions have played an important role in executing satama s strategy in the past couple of years"
neutral,"social networking and location based service trends comprise a significant share of the internet traffic today and are appealing to mid users"
positive,"the acquisition of sampo bank makes strategic sense for db says lindsey liddell director of fitch ratings s financial institutions group"
neutral,"the bond gathered subscriptions from some investors and the issued amount can be considered substantial taking into account the main target group retail investors citycon cfo eero sihvonen said"
positive,"the chf is a great product"
neutral,"the flex is a small price to pay for happy lenders"
neutral,"the industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for web based service to your wireless handset he wrote"
positive,"the intel atom processor has had tremendous success in the marketplace since its launch over years ago said pankaj kedia director of global ecosystem programs for intel corp s ultra mobility group"
neutral,"tom doring has a long and successful career in the drives business and he knows the american market"
positive,"we have significant experience in smartphone functionality in the development of mobile internet services and in uniting the two into a smooth user experience"
neutral,"with this new version it is very important for us to introduce a bim process that is based on the detailed building information model"
neutral,"dinner the conference program can also be viewed as a live audio webcast through the internet pages at www citycon com"
neutral,"g data subscribers are also helping to maintain these growth levels since data only subscriptions push for more multiple sim ownership"
neutral,"october finnish paints and coatings company tikkurila oyj hel tikv announced today the launch of tikkurila prohouse method for protection of wooden surfaces via treatment with ultra pro waterborne products"
neutral,"a cut above bring the outdoors in with these birch branch coasters"
neutral,"a downloadable instruction sheet instructional video and project ideas for the award winning everywhere punch tm window system can be found at www fiskars com"
positive,"a new kveyt light variety of suomalainen pekoni marketed under the atria brand name is now available to consumers in finland"
neutral,"a plumbing business has announced it is sponsoring a professional darts player"
positive,"a realignment of interests in the sector is clearly under way"
neutral,"a le coq special was developed for the bicentenary of the company and the trade mark the brewer said"
neutral,"estimations indicate that even up to different tablet computers or reading devices will be available in"
positive,"finnish construction company yit corporation is planning to build about high quality holiday homes near the tahko ski and spa resort in finland"
neutral,"after piloting the instrument will be further developed according to the experiences gained"
neutral,"and when it has lifted the veil on the various types of customer for which it designs its phones the result is social stereotyping taken to a fine art"
neutral,"another noticeable thing is that the search for tata and airtel brands was mostly related to broadband connections"
neutral,"as an overall effect of the above mentioned measures glaston will recognize non recurring expenses of eur million in the fourth quarter of"
neutral,"aspo has also investigated the sales opportunities of kaukomarkkinat s electronics business"
positive,"at a press conference lattelecom board chairman nils melngailis explained that blackstone had been chosen for its experience in the it sector as well as its financial strength"
neutral,"at the beginning of the subscription period on may the share subscription price under b option right is eur per share"
neutral,"back then tikkurila s former owner finnish chemicals company kemira oyj hel krav distributed an stake to kemira shareholders to facilitate the divestment and listing of tikkurila"
neutral,"based on negotiations with personnel some have indicated their willingness to move to the new location"
neutral,"bg crane has a strong customer base in the on road load handling and related installation and service businesses"
neutral,"both mr walden and mr ignatius will be responsible also for the newspapers business result"
neutral,"capitex kalmar will continue to be responsible for the maintenance and technical development of the services"
neutral,"cathay forest s strategy is to develop sustainable regenerative forest assets"
neutral,"changes to the as built models from the design were communicated to the subcontractors to accommodate them into the steel and grc glass reinforced concrete fabrication process"
neutral,"chargers manufactured under the new platform are suitable for mobile phones navigators digital cameras bluetooth head sets media players and other electronic devices"
positive,"com and we are constantly planning new ways to serve our customers online on a more comprehensive basis says matti leminen president of anttila oy"
neutral,"currently yit builds a housing estate zapadnye vorota square metres in the city and a house square metres which will be completed at the end of"
neutral,"customers in a wide range of industries use our stainless steel and services worldwide"
neutral,"delivery will start immediately in june and will be completed in"
neutral,"demonstrations of the broad capabilities of the mobility business suite will be organized during the gsm world congress in barcelona from february th to th"
neutral,"each option right entitles the holder to subscribe for one new share at a subscription price of eur during the subscription period which ends on december"
neutral,"elisa will expand the use of this technology provided the pilot proves successful"
neutral,"elite residence tower a new development by tameer is located at the heart of dubai marina"
neutral,"europe needs new large paper machines"
neutral,"exel wants to serve its industrial customers with individual products"
neutral,"finnish bank pohjola bank plc hel pohs said today that it will issue a eur million usd m index linked bond pohjola tutkimuksen tahdet viii pohjola research stars viii on october"
neutral,"finnish diversified holding company aspo oyj said on september that it will sell the finnish tape business of its kaukomarkkinat unit to local oy telpak ab"
positive,"finnish retailer stockmann has won approval from the board of swedish rival lindex for a public tender offer with the aim of expanding the companies presence in russia and other cee countries stockmann said monday"
negative,"finnish software and hardware developer elektrobit oyj hel ebgv or eb said today it will temporarily lay off up to people for a maximum of day in finland aiming to achieve cost savings of eur million usd m in the second half of"
neutral,"following the impact the altima hit a utility pole causing a live electric line to fall onto the roadway"
neutral,"from merisatama to the far corners of the world asfaltti osakeyhti lemmink inen was established in by a group of master builders in helsinki as a specialist business and subcontractor"
neutral,"f secure a developer of security solutions as a service through internet service providers and mobile operators announced results from its annual online wellbeing survey"
neutral,"further concrete cooperation is also carried out through various projects doctoral theses and diploma dissertations"
neutral,"furthermore the company will sell the warehouse and office buildings in loudeac and saint marcel and lease new joint premises for these operations in morvillars"
positive,"handelsbanken ranked before local cooperative banks and aktia in customer loyalty this time too however"
neutral,"he is resting comfortably and is looking forward to getting back to work"
neutral,"if the employee leaves the company within the duration of the cover the money invested to ensure commitment is returned to the company"
neutral,"in kemira recorded revenue of approximately eur billion and had a staff of"
neutral,"in accordance with the terms and conditions of alma media s option program the share subscription price for the a option rights was eur per share and the book countervalue eur per share"
neutral,"in addition to supplying a new headbox and a modern sizing and coating unit vaahto group will provide erection supervision training and start up services"
neutral,"in finland martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance"
neutral,"in finland the corresponding service is alma media s etuovi com finland s most popular and best known nationwide online service for home and property sales"
neutral,"in penttil s vision the most important reason for the transaction is russia"
positive,"in recent months capman has taken significant steps to simplify its operations ceo lennart simonsen said"
neutral,"in stead of being based on a soft drink as is usual the teho energy drink is made with fresh water"
neutral,"in the baltics the merger of the businesses of the two is expected to be completed in early"
neutral,"in the next few years the ict sector s share of electricity consumption will be raised by the increase in the popularity of smartphones"
neutral,"in the video above marimekko s design manager noora niiininoski explains that the brands are a natural fit for each other because they both have a timeless style"
neutral,"it also confirmed its earnings guidance for the whole issued in its report for the whole"
positive,"it also has strong assets in electronic media employing an increase of percent on last year"
neutral,"it is hand painted resin with real trebles and is cm long by cm deep from top to bottom of the middle hook"
neutral,"it is part of the development of the world class magnetite deposit at karara which has the known potential for over million metric tons of annual processing of magnetite over its estimated year life"
neutral,"it is the last smartphone running maemo which is to be replaced with meego a joint project between nokia intel and the open source community"
neutral,"it makes a wide range of mobile devices with services and software that enable people to experience music navigation video television imaging games and business mobility"
neutral,"it offers advanced machinery maintenance and process development services to the pulp and paper industry in northern china"
neutral,"it operates under three distinct brands united supermarkets market street and united supermercado"
neutral,"it s an area that is highly valued because most of the land there has already been built on"
positive,"kaido kaare general director for atria eesti says the company s investments in the upgrade of the pig farms surpass eek mn eur mn usd mn in the past years"
neutral,"kaukopartio oy has acquired specialized knowledge in far eastern operations and industrial sourcing services are their core competence"
neutral,"kaupthing bank will publish its annual results for before markets open on thursday january"
neutral,"london afx uk and european brokers recommendations issued today as collated by afx news from a range of market sources"
neutral,"london icis tikkurila has completed the sale of its powder coatings business to finnish industrial coatings firm teknos group the finland based decorative paints company said on wednesday"
neutral,"the fine print is here"
neutral,"m and a master of business administration mba"
neutral,"martela is a front runner in providing innovative solutions and customer service martela designs and supplies interior solutions for working environments and public spaces"
neutral,"more than special events in the three counties during four months were hosted by the library system and its nine branch libraries"
neutral,"ms laakso will be responsible for hkscan s hr functions and for their development in all of the group smarket areas"
neutral,"netcom expects to complete turbo g deployment in these areas this year"
neutral,"new delhi july sahlberg teppo kallio timo and mustonen tuomas of m real oyj espoo finland have developed novel markings and methods of producing the same"
neutral,"nokia siemens networks provides mobile and fixed network infrastructure communications and networks service platforms as well as professional services to operators and service providers"
positive,"nokia will continue to invest in future development of qt for the benefit of all users both commercial and lgpl"
neutral,"nokian tyres tyres are considered genuine winter tyres in russia"
neutral,"of these shares are held by the company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to"
negative,"on the other hand finnish sawmills production has decreased even more"
positive,"one of the installed elevators will be a double deck elevator which enables more efficient use of the building s core space"
neutral,"one of the opportunities would be to bring all baltic meat processing to rakvere like processing was concentrated at the vantaa meat packing unit in finland the paper wrote"
neutral,"outotec s scope of delivery covers the engineering supply of special equipment and services for a calcination plant with two circulating fluid bed calciners"
neutral,"outotec s scope of delivery includes design basic engineering and supply of proprietary equipment for a sinter plant with a grate area of square meters"
neutral,"participants at any of the book discussions or other special events or visitors to the car dealership were eligible to enter the drawing for the silver four door altima"
neutral,"peigs www peigs se will become part of sardus latta maltider light meals unit"
neutral,"pharmaceuticals belgium this brand new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in belgium"
neutral,"pharmaceuticals czech republic this brand new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in czech republic"
neutral,"pharmaceuticals italy this brand new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in italy"
neutral,"pharmaceuticals netherlands this brand new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in netherlands"
neutral,"pharmaceuticals poland this brand new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in poland"
neutral,"pharmaceuticals spain this brand new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in spain"
neutral,"product coverage baked goods biscuits breakfast cereals data coverage market sizes historic and forecasts company shares brand shares and distribution data"
neutral,"pulkovo park will be ready in its first stage of sq m will be finished in the first quarter of"
neutral,"quality chargers under chargz brand are sold in selected retail stores and other sales locations world wide"
neutral,"rapala vmc corporation rapala a leading fishing tackle and sporting goods manufacturer and distributor is the main owner of peltonen with its shareholding"
neutral,"remote phone management demonstrates sysopen digia s unique end to end offering for operators handset manufacturers and enterprise customers"
positive,"renzo piano s building design will be a wonderful addition to london s skyline says noud veeger evp and area director for central and north europe at kone"
neutral,"reporting in accordance with the merged business operations will start as of january"
neutral,"rushydro has an agreement to transfer its stakes in oesk and the five ercs into the trust management of inter rao"
neutral,"russia wants to utilise its huge forest reserves in a very different way from what has been done so far"
neutral,"ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions"
neutral,"s already good position in the technical building services market in ostrobothnia"
neutral,"s group s loyal customer magazine yhteishyv came second with readers and sanoma corporation s daily newspaper helsingin sanomat was third with readers"
neutral,"scopi chief business excellence officer eng"
neutral,"seppala transferred the sale to a greater extent than last year to february and this is reflected on the january sales figures"
neutral,"stora enso oyj said friday it will sell its north american unit to newpage in a deal valued at euro billion us million"
neutral,"subject matter of the invention furthermore is the use of the cyclone for separating partly molten particles"
neutral,"taking a cue from the playbook of the east dillon lions we ve created a special team of heavy hitting style players such as boot cut jeans tummy tops and of course cowboy boots"
neutral,"tekla s defense business employs over persons and is located in espoo finland"
neutral,"tekla s software solutions make customers core processes more effective in building and construction energy distribution infrastructure management and water supply"
positive,"tekla will implement the renewal in software versions which will be introduced in spring"
neutral,"tekla will organize an information meeting for analysts and media at wtc helsinki marski meeting room aleksanterinkatu the same day at p m light lunch will be served"
positive,"the aim is to convert the plants into flexible manufacturers of new and technologically demanding products"
neutral,"the aim is to develop open source application solutions"
neutral,"the annual general meeting approved a dividend of eur per share that is a total of eur million"
neutral,"the annual general meeting approved that the yearly remuneration for the members of the board of directors shall remain at eur for the chairman of the board eur for the deputy chairman of the board and eur for other members of the board"
positive,"the annual thesis contest is aimed to enhance the thesis quality and to strengthen the thesis culture in polytechnics"
neutral,"the board machine which will have a wire width of m and a design speed of m min will produce close to tonnes of folding boxboard per day"
neutral,"the board of directors also proposed that a dividend of eur per outstanding share be paid"
neutral,"the change in holdings in accordance with chapter section of the finnish securities markets act is described below"
neutral,"the company also appointed leif rosen head of the special plate unit which includes the quarto plate units in degerfors sweden and new castle usa the unit in willich germany as well as pressplate and prefab in avesta and plate service centre nordic in degerfors"
neutral,"the company designs manufactures and markets advanced composite products for industrial applications and consumer goods such as cross country alpine and nordic walking poles floorball sticks and antenna radomes"
neutral,"the company had earlier said that it was considering different strategic options for the struggling low cost mobile operator including a divestment of its holding"
neutral,"the company had hoped the new plant would be on stream by the end of"
neutral,"the company is owned by the state of finland and the european aeronautic defense and space company eads n v tekla is an international software company that provides solutions for building and construction energy distribution and municipalities"
neutral,"the company pledged that the new software would render e mails and other documents much as they appear on desktop computers"
positive,"the company s advantage in pricing can be seen in the significantly lower prices offered by the new unmanned stations"
neutral,"the company said offshore segment represented of the total marine engines orders for the july september period merchant special vessels and cruise and ferry and ship design and respectively"
neutral,"the company said production volumes so far indicate the circuit is capable of the targeted output rate of tonnes per day or million tonnes a year"
neutral,"the company said that currently the french distribution unit ragot is located in loudeac normandy the distribution unit waterqueen and line supplier tortue in saint marcel in mid france and the hook manufacturing unit vmc and hook distribution unit vmc europe in morvillars"
neutral,"the construction of a large woodworking facility in the sheksna district of the vologda region in northwest russia will begin in and the plant will start production in"
neutral,"the contract consists of a new building with an area of sq m and renovation of the existing buildings"
neutral,"the contractor of the shopping center china state construction engineering corporation has previously built e g airports hotels and factories for large international customers in different parts of the world"
neutral,"the contracts awarded to date in connection with the system amount to a total eur million"
neutral,"the corrected chapter is in its entirety below"
neutral,"the deal already approved by shareholders will be carried out in the first half of"
positive,"the deal strengthens ramirent s position especially in the industrial sector and in large investment projects"
neutral,"the deal was worth about eur mn"
neutral,"the device offers multimedia performance along with a host of productivity applications including live stock prices"
neutral,"the event can also be viewed as a live audio webcast at www ahlstrom com"
neutral,"the event can also be viewed as a live webcast at www cargotec com"
neutral,"the first charging stations will be made available already in and a whole network is to be ready in"
neutral,"the geosolutions team further provides an intriguing new technology combining gps and mobile based technologies together with internet based social networking"
neutral,"the investment will be worth approximately eur mn"
neutral,"the mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line"
neutral,"the most important export markets are norway germany russia and france"
positive,"the most loyal customers were found in the bank of land with an index of"
neutral,"the new system which will include mc pdas from motorola to be used by poundstretcher operatives across shifts will integrate in real time with the company s existing warehouse management system aldata g o l d stock which went live in may"
neutral,"the nokia music store begins trading on tuesday selling singles and albums as well as live music streaming"
neutral,"the number of customers is one of the most important parameters in determining the price of electricity networks"
neutral,"the order was valued at over eurm"
neutral,"the order was valued at usd m"
neutral,"the order was worth eur mn"
neutral,"the organization that is a member of the russian auto sector union mpra has become active since tikkurila acquired russian paint company kraski teks in"
neutral,"the outsourced scan and capture solutions transfer paper invoices into electronic format and basware business transactions service allows the customer to receive and send invoices in an electronic format"
neutral,"the parties have also agreed that l nnen tehtaat has the right to sell the remaining shares in suomen rehu to hankkija maatalous months after the purchase of the majority holding at the earliest"
positive,"the pipeline is strong"
neutral,"the potential acquirer is cencorp corporation which is a related entity to sav owing to each of sav and cencorp being a subsidiary of the finnish savcor group oy"
neutral,"the prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire aspo shares to the amount determined by the board in advance in the maximum"
neutral,"the record date for dividend distribution is march"
neutral,"the samsung mobile applications store was launched in january by samsung mobile innovator a program which enables mobile software developers to create applications for use across samsung mobile devices"
neutral,"the second quarter net sales are expected to be on par with the first quarter of"
positive,"the service is intended to allow the people of thirteen mediterranean countries to reach the baltic more rapidly with a single carrier"
neutral,"the solid fuel is heated before sludge is mixed therein"
neutral,"the study evaluated the safety tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in patients with active plaque psoriasis"
neutral,"the ten year rent contract with the right of prolongation on the existing terms was signed between stockmann and the owner of the shopping center in"
positive,"the terms of the financing were approved by the annual general meeting of the company held on june"
neutral,"the total donation amount is eur"
neutral,"the total investment necessary will be eurm the company estimated"
neutral,"the total project duration is three years and it is valued at some eur m"
neutral,"the total scope of the project is about square metres and it is valued at a total of around eurm"
neutral,"the transaction which includes us billion euro billion in cash vendor notes and share purchases is expected to be completed in the first quarter of the finnish swedish paper maker said"
neutral,"the upgraded factory is scheduled to come on stream in the summer of"
neutral,"the uranium found locally is naturally occurring and it makes sense to extract it in the same way as we do with our other metals"
positive,"there are companies which are ready to invest their own funds in this deal such as rostelecom rts rtkm"
neutral,"they are responsible for their own operations customer relationships and the development of these"
neutral,"this allows devices such as mobile phones to become a few millimetres thinner"
neutral,"this implementation is very important to the operator since it is about to launch its fixed to mobile convergence service in brazil see brazil may"
positive,"this is the first time finnair has been awarded an agreement with the uk government"
neutral,"this organization will assume the responsibility for operations in russia"
neutral,"this pc application allows users to copy files and other data from their nokia mobile device to their computer as well as create backup content"
neutral,"three students from universiti sains malaysia have won a study trip to helsinki"
neutral,"thus the group s balance sheet will have about eur million of goodwill the company added"
neutral,"thus the group s balance sheet will have about eur m in goodwill for the company added"
neutral,"timo penttila has been appointed new manager responsible for the asset management of nordea s institutional customers in finland"
neutral,"to achieve synergy targets related to the acquisition vaisala is consolidating its manufacturing depot and data services and finance activities currently located in uniontown pennsylvania st louis missouri and durham north carolina"
neutral,"to raise consumer awareness and encourage people to recycle their old mobile devices nokia runs regular recycling campaigns around the world"
neutral,"to see more of new haven register or to subscribe to the newspaper"
neutral,"to showcase our end to end capabilities at the mobile world congress we arranged an internal meego application development competition to entice developers to create new applications"
neutral,"today we are connecting people in new and different ways fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them"
neutral,"together they generate aspo s goodwill"
neutral,"trading in the new shares which have right to dividends and other distributions of funds will start on the exchange in helsinki tomorrow"
neutral,"unc charlotte would also deploy ssh tectia connector to enable secure application connectivity"
positive,"upm kymmene has generated four consecutive quarters of positive free cash flow"
positive,"upm kymmene has generated seventeen consecutive quarters of positive cash flow from operations"
positive,"upm kymmene has generated thirty one consecutive quarters of positive ebitda"
neutral,"upm kymmene www upm kymmene com produces magazine papers and newsprint as well as fine and specialty papers converting materials and wood products"
neutral,"wayne greensmith fiskars brands uk senior brand manager said we have launched this as we want to give something back to the community"
positive,"vdw combined with lxe devices enhances productivity enabling workers to use a single device to perform voice scanning and keyboard functions"
positive,"we can choose the most efficient best overall value option for our customers already at the bidding stage"
neutral,"we make available the following brand new market analyses cement uk cement poland cement belgium these analyses give a clear overview of the actual situation and future outlook of the cement industry in some european countries"
neutral,"we make available the following brand new market analyses cement pakistan cement malaysia cement taiwan cement philippines these analyses give a clear overview of the actual situation and future outlook of the cement industry in some asian countries"
neutral,"we serve a broad range of customers including construction and process industries shipyards the public sector and households"
neutral,"we went to the market with yield guidance of the area which gave us the flexibility to go up or down by th"
neutral,"vehvilainen who is currently the chief operating officer at nokia siemens networks will join finnair on january and take over as ceo effective february"
neutral,"when new types of network elements are added to the network the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system"
positive,"when open next year it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat"
neutral,"via the plant the belgian company will feed mw of electricity into the distribution grid and will be able to deliver up to mw of heat"
positive,"viking line head jan kaarstroem told tt that his company s ferries were well equipped to handle ice and that all the passengers were safe"
neutral,"yara suomi ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry as well as products used in environmental protection"
neutral,"finnish plumbing and heating systems supplier uponor announced a company wide cost reduction program in august"
positive,"finnish plumbing and heating systems supplier uponor corporation omx helsinki unrv said on tuesday august that its board of directors has authorised the management to proceed with a company wide cost reduction program"
neutral,"a flurry analytics spokesperson said that as it was only measuring windows phone data for some weeks the firm double checked the data to make sure the per cent rise was not an aberration"
negative,"net sales of finnish sanoma learning literature of finnish media group sanoma decreased by in january june totalling eur mn down from eur mn in the corresponding period in"
negative,"employing in finland and abroad the unit recorded first quarter sales of mln eur with an operating loss of mln eur"
negative,"jp morgan expects that scala will lower nobel biocare s growth forecast for from the current guidance of pct as well as the operating margin target from the current pct"
negative,"furthermore sales of new passenger cars and light commercial vehicles in the country declined by year on year last month"
negative,"it services firm tietoenator was bucking the general trend holding flat at eur after slipping back from earlier gains"
negative,"profitability ebit was compared to in q"
negative,"several large stocks tacked lower however"
positive,"the company booked april june new orders worth mln eur compared with mln eur in the same period a year ago"
negative,"sales of mid strength beer decreased by"
negative,"teliasonera s underlying results however included mln skr in positive one offs hence the adjusted underlying ebitda actually amounts to bln skr clearly below expectations analysts said"
positive,"aspocomp has repaid its interest bearing liability to standard chartered bank and will use the rest of the consideration to partially repay its interest bearing liabilities in finland and to improve its liquidity"
positive,"eurochem head of corporate finance alexander gavrilov said i am pleased that we have once again confirmed that eurochem is able to attract long term funds at attractive rates"
positive,"under a memorandum of understanding mou the parties will collaborate in preparing and implementing joint projects in the fields of combined power and heat generation environmental protection and energy efficient technologies"
positive,"we are honored to be acknowledged for our commitment to the industry especially in asia pacific"
neutral,"i thank jarmo ukonaho warmly for his contribution and wish him all the best in the future challenges"
positive,"the seminar introduced modern clean technologies and products financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in vietnam"
positive,"proving that good cellphone design is truly a work of art the website for the nokia provides a colorful canvas for the expression of mobile inspired sentiments"
positive,"following last year s good profit development we have entered the current year in a good position"
positive,"helsinki thomson financial kemira growhow swung into profit in its first quarter earnings on improved sales especially in its fertilizer business in europe which is normally stronger during the first quarter"
positive,"finnish lifting equipment maker kone oyj said on october it won an order worth mln euro mln to deliver a total of custom designed elevators to norwegian shipbuilder aker yards asa"
positive,"for the full the company expects its net sales and operating result to improve from the previous year saying that a positive operating result and its amount will depend on the order intake by the end of the summer"
positive,"it will focus on improving its profitability next year by streamlining operations"
positive,"md henning bahr of stockmann gruppen praises the trend since the chains become stronger and their decision making processes more clear"
positive,"mr lee said he hoped that neste s move will pave the way for more collaboration projects between our two countries"
positive,"the company will enhance the gprs capability in the existing idea telecom service areas and add more service areas to its network"
positive,"the company will make its marketing and sales investments initiated in even more efficient in"
positive,"the core of solidium s investment strategy is proper value enhancing asset management of the current holdings"
positive,"the developers of that project predict that once it is completed in april skanssi will attract some million visitors annually"
positive,"the geosolutions technology will leverage benefon s gps solutions by providing location based search technology a communities platform location relevant multimedia content and a new and powerful commercial model"
positive,"the stock is trading above both its maps and the day map of sek is higher than the day map of sek a bullish indicator"
positive,"those will be partially offset by a mln eur gain on the sale of its celbi pulp plant in portugal"
positive,"with the measures suominen corporation aims to ensure the competitiveness of the flexible packaging business in the long term"
positive,"abb deutsche bank upgraded its recommendation on swiss swedish engineering group abb ltd to buy from hold"
positive,"i am very pleased and proud of our performance last year chief executive juha rantanen said in a statement"
positive,"i m pleased to receive the nomination committee s request and confidence says jon risfelt"
positive,"our design team has long admired marimekko s vivid patterns and colors"
positive,"overall we re pleased with the startup curve and we re pleased with the quality of the paper stora spokeswoman patricia dietz said tuesday"
positive,"we are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead"
positive,"we are proud to welcome another distribution facility to north mississippi and the region known as the logistics center of the united states said gray swoope executive director of mda"
positive,"we are very pleased to be working with fujitsu and ntt docomo to advance the progress of lte said juergen walter head of converged core nokia siemens networks"
positive,"a memorandum of understanding on cooperation between the finnish global chemical company kemira and vietnam national chemicals group vinachem was signed on this occasion"
neutral,"affecto has helped skat to set up the platform and has previously delivered several business intelligence projects for skat"
positive,"also it is bringing in the right kind of people to upgrade its human resources"
positive,"at the seminar a memorandum of understanding on co operation was signed between the finnish kemira company and vietnam national chemical corporation"
positive,"by acquiring rcp we can combine our strong knowhow with the expertise of a solid local company"
positive,"eurochem cfo andrey ilyin said this facility marks another important step for eurochem in securing the long term financing necessary for our potash and other strategic projects"
positive,"helsinki thomson financial kone said it has won four orders in saudi arabia united arab emirates and qatar worth mln eur"
positive,"adp news finnish handling systems provider cargotec oyj hel cgcbv announced on friday it won orders worth eur million usd m to deliver linkspans to jordan morocco and ireland"
positive,"merrill lynch analyst campbell morgan upgraded his recommendation on paperlinx from neutral to buy in may"
neutral,"mr atul chopra chief operating officer president tecnotree elaborated i am eager to see the continued success of the former tecnomen bringing lifetree product to mena under the tecnotree umbrella"
positive,"outotec oyj press release february at am outotec has won two large minerals processing technology orders from mirabela mineracao do brasil ltda brazil and from cumerio med jsco bulgaria"
positive,"outotec said it won new orders worth mln eur during the quarter compared with mln eur a year earlier"
positive,"president and ceo mika vehvil inen says the positive signs are first and foremost emerging outside finland"
positive,"raute said it has won an order worth around mln eur to supply several plywood production lines to mills operated by russian wood products company sveza group"
positive,"satama earned data management solutions competency with business intelligence specialization recentlyvia the acquisition of fimentor oy"
neutral,"since inception in access stable management team has remained disciplined and focused on the proactive screening selection and management of european small to mid market buy out funds of funds and mandates"
positive,"sysopen digia plc press release february ibm finland has rewarded its most distinguished partner companies for"
positive,"the brokerage said has seen a true turning point in european steel base prices with better pricing seen carrying through the second quarter of"
positive,"the concept enables a commercially affordable way to manufacture high quality tco coated glass for the solar industry"
neutral,"the goal is to secure the company s profitability and competitiveness"
positive,"the new policy was also aimed at making the companies more profitable and competitive"
positive,"the purpose of this action is to ensure company s cost effectiveness this year and in the near future"
positive,"this location makes the mall a convenient place to shop for consumers from three large residential areas nearby jaroszowka wysockiego and zgody"
positive,"tieto offers aktia a good foundation and the required support services for implementing the update project says juha volotinen responsible for aktia s web services"
positive,"we are glad that our long co operation with sodra continues comments stig goran sandberg affecto s area manager for baltic operations"
neutral,"we now have both the opportunity and the responsibility to create a new journalistic culture to serve the readers of alma media s newspapers says hannu ollikainen head of the new helsinki desk"
positive,"lining stone sales were also good in the early autumn and order books are strong to the end of the year"
neutral,"these patronage refunds reward members that use the fee based services that make a positive contribution to cencorp s operating results said bill walby cencorp ceo"
positive,"this vessel order will help aspo secure the long term competitiveness of its fleet both in terms of technology and pricing"
positive,"december finnish german telecoms equipment maker nokia siemens networks said today it won a contract to upgrade the radio network of home based telecommunications company elisa oyj hel eliv"
positive,"finnish kci konecranes has been awarded an order for four hot metal ladle cranes by indian steel producer bhushan steel strips to be delivered in"
positive,"finnish raute precision has won large glass batch plant and mortar plant orders from mexico and the us"
positive,"vaahto pulp paper of finnish vaahto group has been awarded an order to renovate finnish swedish forest industry company stora enso s paperboard machine at the ingerois board mill in finland"
positive,"combining the two producers will create a strong eu based fertilizer industry capable of meeting global competition they added"
positive,"finnish it solutions provider affecto oyj said today that it has won a frame contract valued at some eurm to implement the next phase of its insurance application for south african mutual federal insurance company limited m f"
positive,"helsinki afx kci konecranes said it has won an order for four hot metal ladle cranes from indian steel producer bhushan steel and strips ltd"
positive,"helsinki afx outokumpu said its technology unit has won a mln eur contract from bosnia herzegovina s aluminij dd mostar to upgrade an anode plant"
